month_year,price_prod,values
1999-03-17,field_production,182362
1999-04-17,field_production,176616
1999-05-17,field_production,182122
1999-06-17,field_production,172808
1999-07-17,field_production,179738
1999-08-17,field_production,179187
1999-09-17,field_production,174113
1999-10-17,field_production,184361
1999-11-17,field_production,178811
1999-12-17,field_production,184716
2000-01-17,field_production,179316
2000-02-17,field_production,169703
2000-03-17,field_production,183464
2000-04-17,field_production,175625
2000-05-17,field_production,181242
2000-06-17,field_production,174686
2000-07-17,field_production,177920
2000-08-17,field_production,179451
2000-09-17,field_production,172731
2000-10-17,field_production,180080
2000-11-17,field_production,174980
2000-12-17,field_production,181508
2001-01-17,field_production,179767
2001-02-17,field_production,161843
2001-03-17,field_production,182290
2001-04-17,field_production,175879
2001-05-17,field_production,180712
2001-06-17,field_production,172974
2001-07-17,field_production,178208
2001-08-17,field_production,177488
2001-09-17,field_production,171270
2001-10-17,field_production,178129
2001-11-17,field_production,176441
2001-12-17,field_production,182511
2002-01-17,field_production,182076
2002-02-17,field_production,164666
2002-03-17,field_production,182460
2002-04-17,field_production,175333
2002-05-17,field_production,183057
2002-06-17,field_production,176532
2002-07-17,field_production,178275
2002-08-17,field_production,179670
2002-09-17,field_production,162336
2002-10-17,field_production,166105
2002-11-17,field_production,168706
2002-12-17,field_production,177372
2003-01-17,field_production,178412
2003-02-17,field_production,161920
2003-03-17,field_production,179907
2003-04-17,field_production,171774
2003-05-17,field_production,175568
2003-06-17,field_production,169772
2003-07-17,field_production,170452
2003-08-17,field_production,172787
2003-09-17,field_production,168270
2003-10-17,field_production,174020
2003-11-17,field_production,166397
2003-12-17,field_production,172715
2004-01-17,field_production,173132
2004-02-17,field_production,161583
2004-03-17,field_production,174115
2004-04-17,field_production,166810
2004-05-17,field_production,172235
2004-06-17,field_production,162208
2004-07-17,field_production,170011
2004-08-17,field_production,165072
2004-09-17,field_production,152444
2004-10-17,field_production,160270
2004-11-17,field_production,162699
2004-12-17,field_production,170815
2005-01-17,field_production,168831
2005-02-17,field_production,154038
2005-03-17,field_production,173626
2005-04-17,field_production,166885
2005-05-17,field_production,173491
2005-06-17,field_production,163263
2005-07-17,field_production,162854
2005-08-17,field_production,161153
2005-09-17,field_production,126417
2005-10-17,field_production,141200
2005-11-17,field_production,145708
2005-12-17,field_production,154630
2006-01-17,field_production,156480
2006-02-17,field_production,140894
2006-03-17,field_production,155842
2006-04-17,field_production,152450
2006-05-17,field_production,159667
2006-06-17,field_production,154884
2006-07-17,field_production,157919
2006-08-17,field_production,156232
2006-09-17,field_production,150926
2006-10-17,field_production,158353
2006-11-17,field_production,151926
2006-12-17,field_production,160768
2007-01-17,field_production,158342
2007-02-17,field_production,143301
2007-03-17,field_production,158697
2007-04-17,field_production,155407
2007-05-17,field_production,161548
2007-06-17,field_production,152254
2007-07-17,field_production,156175
2007-08-17,field_production,154060
2007-09-17,field_production,147061
2007-10-17,field_production,155680
2007-11-17,field_production,151021
2007-12-17,field_production,158427
2008-01-17,field_production,158562
2008-02-17,field_production,149090
2008-03-17,field_production,160960
2008-04-17,field_production,155217
2008-05-17,field_production,159467
2008-06-17,field_production,154054
2008-07-17,field_production,160433
2008-08-17,field_production,154912
2008-09-17,field_production,119128
2008-10-17,field_production,146858
2008-11-17,field_production,152216
2008-12-17,field_production,158237
2009-01-17,field_production,159293
2009-02-17,field_production,146579
2009-03-17,field_production,161507
2009-04-17,field_production,158296
2009-05-17,field_production,166560
2009-06-17,field_production,157887
2009-07-17,field_production,167007
2009-08-17,field_production,167592
2009-09-17,field_production,166631
2009-10-17,field_production,170936
2009-11-17,field_production,161307
2009-12-17,field_production,168641
2010-01-17,field_production,167107
2010-02-17,field_production,155293
2010-03-17,field_production,170575
2010-04-17,field_production,161431
2010-05-17,field_production,167052
2010-06-17,field_production,161404
2010-07-17,field_production,164203
2010-08-17,field_production,168640
2010-09-17,field_production,168270
2010-10-17,field_production,174188
2010-11-17,field_production,166838
2010-12-17,field_production,173442
2011-01-17,field_production,169998
2011-02-17,field_production,150980
2011-03-17,field_production,173726
2011-04-17,field_production,166375
2011-05-17,field_production,173764
2011-06-17,field_production,167146
2011-07-17,field_production,168071
2011-08-17,field_production,174806
2011-09-17,field_production,166986
2011-10-17,field_production,181616
2011-11-17,field_production,179146
2011-12-17,field_production,187024
2012-01-17,field_production,190382
2012-02-17,field_production,180866
2012-03-17,field_production,195014
2012-04-17,field_production,188542
2012-05-17,field_production,196566
2012-06-17,field_production,187910
2012-07-17,field_production,198952
2012-08-17,field_production,197251
2012-09-17,field_production,196684
2012-10-17,field_production,215152
2012-11-17,field_production,210884
2012-12-17,field_production,219559
2013-01-17,field_production,219251
2013-02-17,field_production,199798
2013-03-17,field_production,223248
2013-04-17,field_production,221179
2013-05-17,field_production,226212
2013-06-17,field_production,217614
2013-07-17,field_production,231370
2013-08-17,field_production,232895
2013-09-17,field_production,232831
2013-10-17,field_production,238966
2013-11-17,field_production,236347
2013-12-17,field_production,245459
2014-01-17,field_production,248710
2014-02-17,field_production,227198
2014-03-17,field_production,255848
2014-04-17,field_production,257907
2014-05-17,field_production,266430
2014-06-17,field_production,261211
2014-07-17,field_production,272962
2014-08-17,field_production,274834
2014-09-17,field_production,271380
2014-10-17,field_production,286188
2014-11-17,field_production,278837
2014-12-17,field_production,293412
2015-01-17,field_production,290108
2015-02-17,field_production,267043
2015-03-17,field_production,296392
2015-04-17,field_production,288788
2015-05-17,field_production,292254
2015-06-17,field_production,279881
2015-07-17,field_production,291456
2015-08-17,field_production,290742
2015-09-17,field_production,282521
2015-10-17,field_production,289522
2015-11-17,field_production,279204
2015-12-17,field_production,286108
2016-01-17,field_production,284780
2016-02-17,field_production,264107
2016-03-17,field_production,283160
2016-04-17,field_production,267193
2016-05-17,field_production,274635
2016-06-17,field_production,261080
2016-07-17,field_production,269130
2016-08-17,field_production,270207
2016-09-17,field_production,256602
2016-10-17,field_production,272520
2016-11-17,field_production,266282
2016-12-17,field_production,271896
2017-01-17,field_production,273569
2017-02-17,field_production,253267
2017-03-17,field_production,282307
2017-04-17,field_production,272792
2017-05-17,field_production,283169
2017-06-17,field_production,272035
2017-07-17,field_production,285465
2017-08-17,field_production,284962
2017-09-17,field_production,284540
2017-10-17,field_production,299404
2017-11-17,field_production,301965
2017-12-17,field_production,308688
2018-01-17,field_production,308877
